Latitude, Hardness, date, time, quarterly basis, me + minute,user_number, wwave_update, mediatime,title,content number, playtime, broaddate,genre, Device-eng, Cp-eng, Channel-eng, Section-eng,loc, Date,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time,watch time ( candle ),round( minute ), region, file_index,t-gap, g-num
37.5188531999999,126.8718864,22,0:00:00,0,0,1,11/22/2021 0:00,0:51:35, game of thrones season 3,2,3428,4/7/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,1,1,1,3,5,5,0:00:00,0,0,0,14,3151,5
37.5188531999999,126.8718864,22,0:02:00,2,2,1,11/22/2021 0:02,0:04:23, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:02,62.5,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:02:00,2,2,1,11/22/2021 0:02,0:04:23, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:02,62.5,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:04:00,4,4,1,11/22/2021 0:04,0:09:16, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:00:49,49,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:04:00,4,4,1,11/22/2021 0:04,0:09:16, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:00:49,49,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:06:00,6,6,1,11/22/2021 0:06,0:12:41, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:03,63.5,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:06:00,6,6,1,11/22/2021 0:06,0:12:41, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:03,63.5,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:08:00,8,8,1,11/22/2021 0:08,0:21:51, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:14,74,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:08:00,8,8,1,11/22/2021 0:08,0:21:51, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,0,1,1,3,5,5,0:01:14,74,1,0,14,3144,5
37.5188531999999,126.8718864,22,0:12:00,12,12,1,11/22/2021 0:12,0:41:14, game of thrones season 3,3,3172,4/14/2013," 19, SF, SF fantasy , mid , fantasy", PC, HBO, HBO, Overseas series,1,1,1,2,1,25,1,1,3,1,3,5,5,0:00:00,0,0,0,14,3144,5
